$2.88 - 0.20 i$ & $0.89 + 0.23 i$ & $0.63 - 1.52 i$ & $0.32 - 0.15 i$ & $0.07 - 0.04 i$ & $-9.33 - 3.12 i$ & $10.70 + 6.05 i$ & $-4.95 - 3.44 i$ \\
$3.11 - 3.11 i$ & $0.49 - 0.01 i$ & $0.09 + 0.02 i$ & $0.01 - 0.01 i$ & $-0.07 - 0.33 i$ & $-0.84 + 3.08 i$ & $2.84 - 4.03 i$ & $-1.53 + 2.46 i$ \\
$5.18 - 2.94 i$ & $0.74 + 2.60 i$ & $1.87 - 0.65 i$ & $0.32 - 0.81 i$ & $0.11 - 0.01 i$ & $14.86 - 13.29 i$ & $-36.56 + 17.63 i$ & $20.80 - 8.32 i$ \\
$6.36 - 1.14 i$ & $0.19 + 0.01 i$ & $0.11 - 0.02 i$ & $-0.28 - 0.10 i$ & $0.20 - 0.25 i$ & $-5.07 - 3.16 i$ & $3.94 + 5.57 i$ & $-0.60 - 3.12 i$ \\
$11.85 - 1.06 i$ & $-0.45 - 1.35 i$ & $1.63 + 1.10 i$ & $-0.05 + 0.36 i$ & $-0.10 + 0.24 i$ & $2.63 - 9.03 i$ & $-8.95 + 5.97 i$ & $4.81 + 3.15 i$ \\
$15.41 - 3.04 i$ & $0.23 + 0.58 i$ & $0.52 - 0.74 i$ & $-0.61 + 0.40 i$ & $0.63 + 0.74 i$ & $-7.92 + 0.14 i$ & $16.14 - 2.71 i$ & $-10.35 + 3.22 i$ \\
$18.72 - 2.11 i$ & $-0.07 - 0.15 i$ & $0.33 + 0.66 i$ & $-0.33 - 0.48 i$ & $0.77 + 1.12 i$ & $-0.90 + 0.62 i$ & $-4.70 - 0.29 i$ & $4.62 - 1.70 i$ \\
$21.33 - 1.47 i$ & $-0.32 + 0.48 i$ & $1.21 - 1.33 i$ & $-0.78 + 0.93 i$ & $0.55 - 0.21 i$ & $-10.06 - 0.13 i$ & $18.74 - 0.03 i$ & $-10.46 + 0.08 i$ \\
$24.24 - 1.08 i$ & $0.16 - 0.05 i$ & $-0.32 + 0.13 i$ & $0.23 - 0.10 i$ & $0.87 + 0.56 i$ & $-0.37 + 6.58 i$ & $-3.94 - 11.69 i$ & $2.32 + 5.77 i$ \\
$27.10 - 2.56 i$ & $-0.13 + 0.01 i$ & $0.31 + 0.20 i$ & $-0.19 - 0.17 i$ & $1.30 + 1.02 i$ & $1.88 + 2.39 i$ & $-9.14 - 3.23 i$ & $5.88 + 1.02 i$ \\
$29.87 - 4.14 i$ & $0.01 - 0.04 i$ & $-0.14 - 0.06 i$ & $0.12 + 0.12 i$ & $2.46 - 1.68 i$ & $3.39 + 4.23 i$ & $-9.78 - 4.66 i$ & $4.97 + 0.99 i$ \\
$32.89 - 0.52 i$ & $0.15 - 0.43 i$ & $0.17 + 0.63 i$ & $-0.04 - 0.21 i$ & $0.09 + 0.14 i$ & $5.29 + 4.50 i$ & $-12.54 - 2.30 i$ & $5.17 - 2.01 i$ \\
$38.38 - 5.92 i$ & $-0.02 + 0.04 i$ & $0.11 - 0.12 i$ & $0.21 + 0.06 i$ & $5.21 + 0.09 i$ & $1.90 + 3.11 i$ & $-7.19 + 3.90 i$ & $1.84 - 4.95 i$ \\
$42.88 - 4.62 i$ & $-0.10 - 0.65 i$ & $-0.01 + 0.93 i$ & $0.37 - 0.60 i$ & $-0.36 - 3.49 i$ & $10.09 - 1.00 i$ & $-5.46 + 12.71 i$ & $-3.11 - 4.03 i$ \\
