$3.80 - 2.25 i$ & $0.85 - 0.28 i$ & $0.03 - 0.20 i$ & $-0.01 - 0.03 i$ & $0.32 - 0.41 i$ & $-1.46 - 1.35 i$ & $0.55 + 1.30 i$ & $0.34 + 0.36 i$ \\
$7.16 - 2.44 i$ & $-0.37 - 0.84 i$ & $0.04 + 0.06 i$ & $0.06 - 0.08 i$ & $-0.15 - 0.10 i$ & $0.89 - 1.31 i$ & $-0.77 + 0.41 i$ & $-0.14 + 0.17 i$ \\
$9.65 - 1.10 i$ & $0.16 - 0.35 i$ & $-0.14 - 0.02 i$ & $0.14 - 0.04 i$ & $0.22 - 0.13 i$ & $-2.18 - 1.74 i$ & $0.20 + 0.90 i$ & $0.55 + 0.39 i$ \\
$15.02 - 1.78 i$ & $-0.35 + 0.06 i$ & $0.59 - 0.12 i$ & $-0.03 + 0.12 i$ & $0.23 + 0.15 i$ & $-0.89 - 0.81 i$ & $-0.93 + 0.22 i$ & $0.01 + 0.60 i$ \\
$17.92 - 1.64 i$ & $-0.30 - 0.13 i$ & $0.60 + 0.42 i$ & $-0.23 - 0.37 i$ & $0.06 + 0.63 i$ & $-0.62 - 2.06 i$ & $-1.03 - 0.27 i$ & $-0.54 + 0.45 i$ \\
$20.56 - 1.21 i$ & $0.15 + 0.00 i$ & $-0.16 - 0.32 i$ & $0.09 + 0.10 i$ & $0.20 + 0.03 i$ & $0.43 + 1.43 i$ & $-0.08 + 1.08 i$ & $0.08 + 0.36 i$ \\
$23.87 - 1.86 i$ & $0.09 - 0.01 i$ & $-0.28 + 0.06 i$ & $0.24 - 0.01 i$ & $1.58 + 0.85 i$ & $-1.31 + 0.19 i$ & $-0.59 + 0.49 i$ & $0.20 - 0.54 i$ \\
$26.89 - 1.96 i$ & $-0.39 - 0.07 i$ & $0.17 + 0.28 i$ & $0.09 - 0.48 i$ & $0.60 + 0.44 i$ & $-3.13 - 3.46 i$ & $0.54 + 0.90 i$ & $0.36 + 0.11 i$ \\
$29.69 - 1.76 i$ & $0.16 + 0.02 i$ & $-0.14 - 0.22 i$ & $0.14 + 0.15 i$ & $1.03 - 0.54 i$ & $-0.74 + 2.59 i$ & $-2.36 - 1.23 i$ & $0.12 - 0.22 i$ \\
$32.67 - 3.20 i$ & $0.02 - 0.25 i$ & $0.19 + 0.42 i$ & $-0.02 - 0.20 i$ & $1.44 + 0.99 i$ & $1.03 + 0.74 i$ & $-0.79 - 0.18 i$ & $0.08 + 0.04 i$ \\
$37.46 - 2.72 i$ & $0.01 - 0.04 i$ & $-0.05 - 0.02 i$ & $0.08 + 0.09 i$ & $1.77 + 1.26 i$ & $-1.92 - 0.75 i$ & $-0.28 + 0.67 i$ & $0.49 + 0.01 i$ \\
$41.69 - 3.03 i$ & $-0.02 - 0.19 i$ & $0.04 + 0.37 i$ & $0.06 - 0.17 i$ & $2.54 + 0.20 i$ & $-1.24 + 1.82 i$ & $-0.34 - 0.34 i$ & $-0.13 - 0.38 i$ \\
$45.27 - 2.40 i$ & $-0.11 + 0.01 i$ & $0.14 - 0.08 i$ & $-0.02 + 0.04 i$ & $1.39 + 0.51 i$ & $0.17 - 0.52 i$ & $0.76 - 0.03 i$ & $-0.76 + 0.84 i$ \\
$49.08 - 3.87 i$ & $0.04 - 0.21 i$ & $0.19 + 0.19 i$ & $-0.14 - 0.04 i$ & $3.87 - 1.05 i$ & $-0.04 + 0.75 i$ & $0.54 - 0.75 i$ & $0.48 + 0.62 i$ \\
$52.56 - 3.73 i$ & $0.14 - 0.11 i$ & $-0.14 - 0.02 i$ & $-0.02 - 0.03 i$ & $1.94 - 4.04 i$ & $0.53 + 3.63 i$ & $-0.69 + 0.05 i$ & $-0.29 - 0.26 i$ \\
$55.57 - 3.22 i$ & $0.10 - 0.11 i$ & $-0.12 - 0.03 i$ & $-0.02 + 0.02 i$ & $-2.52 - 1.08 i$ & $3.40 + 0.97 i$ & $0.78 + 0.81 i$ & $0.25 + 0.11 i$ \\
