$2.42 - 0.68 i$ & $-0.28 - 0.50 i$ & $-0.03 - 0.05 i$ & $-0.00 + 0.02 i$ & $-0.02 - 0.01 i$ & $1.10 + 0.56 i$ & $0.24 + 0.16 i$ & $0.07 + 0.06 i$ \\
$5.28 - 1.10 i$ & $1.16 + 0.65 i$ & $0.25 - 0.71 i$ & $-0.00 - 0.33 i$ & $0.13 + 0.01 i$ & $0.63 - 0.60 i$ & $0.35 + 0.66 i$ & $0.05 + 0.10 i$ \\
$7.92 - 0.94 i$ & $0.72 - 0.25 i$ & $-1.18 - 0.21 i$ & $0.25 - 0.07 i$ & $0.25 - 0.22 i$ & $0.02 + 1.85 i$ & $0.26 - 0.84 i$ & $0.04 - 0.59 i$ \\
$9.60 - 0.80 i$ & $0.38 - 0.09 i$ & $-0.58 - 0.43 i$ & $0.46 + 0.44 i$ & $0.14 - 0.13 i$ & $-0.98 + 1.10 i$ & $0.17 + 0.20 i$ & $0.40 - 0.34 i$ \\
$11.81 - 2.79 i$ & $0.08 + 0.64 i$ & $-0.19 - 0.38 i$ & $0.25 + 0.06 i$ & $0.11 - 0.01 i$ & $-0.55 - 1.30 i$ & $-0.16 - 0.23 i$ & $0.25 - 0.25 i$ \\
$15.80 - 3.00 i$ & $-0.44 + 0.21 i$ & $1.15 - 0.37 i$ & $-0.53 + 0.17 i$ & $1.25 + 0.37 i$ & $-0.80 - 0.59 i$ & $-0.29 - 0.50 i$ & $0.34 + 0.17 i$ \\
$18.26 - 2.18 i$ & $-0.52 - 0.41 i$ & $1.20 + 0.64 i$ & $-0.52 - 0.21 i$ & $0.57 + 0.03 i$ & $-0.97 - 1.24 i$ & $0.03 - 0.67 i$ & $-0.07 + 0.31 i$ \\
$20.11 - 2.78 i$ & $-0.25 - 0.53 i$ & $-0.02 + 1.06 i$ & $0.35 - 0.53 i$ & $0.01 - 1.07 i$ & $-0.68 - 0.88 i$ & $0.40 - 0.24 i$ & $-0.28 + 0.08 i$ \\
$22.61 - 2.93 i$ & $0.36 - 0.17 i$ & $-0.08 + 1.13 i$ & $-0.13 - 0.86 i$ & $0.19 + 0.47 i$ & $-0.85 + 0.63 i$ & $0.45 - 0.13 i$ & $-0.70 - 0.25 i$ \\
$26.30 - 2.47 i$ & $-0.00 - 0.12 i$ & $0.08 + 0.49 i$ & $0.15 - 0.27 i$ & $0.76 + 0.21 i$ & $-1.32 + 0.28 i$ & $0.07 + 0.38 i$ & $-0.26 - 0.11 i$ \\
$29.89 - 2.33 i$ & $-0.07 + 0.22 i$ & $0.14 - 0.37 i$ & $-0.09 + 0.19 i$ & $0.42 + 1.75 i$ & $-2.20 + 0.46 i$ & $-0.38 - 0.39 i$ & $0.44 + 0.14 i$ \\
$32.17 - 2.36 i$ & $0.08 + 0.16 i$ & $-0.42 - 0.34 i$ & $0.38 + 0.19 i$ & $1.41 + 1.88 i$ & $-1.17 + 0.43 i$ & $-1.19 + 0.13 i$ & $0.38 - 0.33 i$ \\
$34.24 - 2.43 i$ & $0.01 + 0.04 i$ & $-0.14 - 0.40 i$ & $-0.01 + 0.20 i$ & $1.59 + 0.27 i$ & $-0.32 + 0.89 i$ & $-0.23 + 0.83 i$ & $0.31 - 0.19 i$ \\
$36.51 - 3.31 i$ & $-0.10 + 0.16 i$ & $0.13 - 0.21 i$ & $0.00 + 0.04 i$ & $1.75 + 0.84 i$ & $-1.31 + 1.39 i$ & $-0.50 - 0.00 i$ & $0.15 - 0.06 i$ \\
$38.03 - 3.54 i$ & $0.08 - 0.00 i$ & $0.04 + 0.07 i$ & $0.01 - 0.14 i$ & $2.54 - 0.78 i$ & $-0.83 + 1.24 i$ & $-0.15 + 0.65 i$ & $0.09 + 0.18 i$ \\
$41.96 - 4.31 i$ & $0.14 - 0.25 i$ & $0.15 + 0.27 i$ & $-0.05 - 0.06 i$ & $3.06 - 2.62 i$ & $0.00 + 2.68 i$ & $-0.80 + 0.10 i$ & $-0.62 + 0.23 i$ \\
$46.11 - 4.02 i$ & $0.51 - 0.30 i$ & $-0.16 + 0.12 i$ & $-0.05 + 0.09 i$ & $-1.41 - 3.15 i$ & $1.01 + 3.32 i$ & $0.69 + 0.32 i$ & $0.48 + 0.01 i$ \\
