$0.19 - 2.01 i$ & $0.69 - 0.29 i$ & $0.04 + 0.07 i$ & $-0.20 + 0.13 i$ & $0.07 - 0.00 i$ & $-1.49 + 0.02 i$ & $-0.95 - 0.25 i$ & $-0.62 + 0.01 i$ \\
$3.25 - 1.86 i$ & $0.90 - 0.92 i$ & $0.49 - 0.31 i$ & $0.17 - 0.06 i$ & $0.07 - 0.00 i$ & $-1.61 - 0.31 i$ & $-0.97 - 0.60 i$ & $-0.52 - 0.38 i$ \\
$6.66 - 1.49 i$ & $0.95 - 0.79 i$ & $0.36 - 0.36 i$ & $0.08 - 0.15 i$ & $0.14 - 0.00 i$ & $-1.47 - 0.71 i$ & $-1.09 - 0.69 i$ & $-0.18 - 0.43 i$ \\
$9.81 - 0.33 i$ & $0.03 - 0.04 i$ & $0.56 - 0.11 i$ & $0.47 - 0.01 i$ & $0.11 - 0.14 i$ & $-1.63 + 0.37 i$ & $-0.41 - 0.19 i$ & $0.04 - 0.19 i$ \\
$10.13 - 1.71 i$ & $-0.06 + 0.24 i$ & $-0.12 + 0.17 i$ & $0.27 - 0.44 i$ & $0.44 - 0.01 i$ & $0.50 - 0.47 i$ & $0.29 - 0.03 i$ & $0.03 - 0.00 i$ \\
$12.72 - 1.00 i$ & $-0.09 - 0.27 i$ & $0.37 - 0.97 i$ & $0.26 - 0.44 i$ & $0.44 - 0.10 i$ & $0.10 - 0.50 i$ & $-0.22 - 0.56 i$ & $-0.14 - 0.35 i$ \\
$16.97 - 2.01 i$ & $0.12 - 0.24 i$ & $0.36 - 0.01 i$ & $0.07 - 0.01 i$ & $1.16 - 0.01 i$ & $-0.32 - 0.59 i$ & $-0.13 - 0.35 i$ & $-0.04 - 0.05 i$ \\
$21.39 - 1.95 i$ & $0.26 + 0.06 i$ & $-0.02 - 0.23 i$ & $-0.04 - 0.23 i$ & $0.91 - 0.04 i$ & $0.05 - 0.07 i$ & $-0.06 - 0.69 i$ & $-0.08 - 0.30 i$ \\
$24.06 - 2.11 i$ & $0.53 - 0.44 i$ & $0.41 - 0.22 i$ & $0.10 - 0.36 i$ & $1.82 - 0.00 i$ & $0.53 - 0.16 i$ & $-0.16 - 0.13 i$ & $-0.26 + 0.08 i$ \\
$25.81 - 0.76 i$ & $-0.07 - 0.07 i$ & $0.26 + 0.22 i$ & $-0.31 - 0.35 i$ & $1.01 - 0.00 i$ & $-0.27 - 0.29 i$ & $-0.25 + 0.13 i$ & $-0.13 + 0.30 i$ \\
$27.39 - 1.53 i$ & $-0.07 + 0.25 i$ & $0.06 - 0.40 i$ & $0.16 - 0.22 i$ & $0.87 - 0.00 i$ & $-0.35 - 0.39 i$ & $0.16 - 0.21 i$ & $0.10 - 0.13 i$ \\
$28.82 - 2.36 i$ & $0.31 - 0.64 i$ & $0.01 - 0.85 i$ & $-0.20 - 0.55 i$ & $1.95 - 0.00 i$ & $1.02 + 0.04 i$ & $-0.13 + 0.43 i$ & $-0.27 + 0.59 i$ \\
$31.44 - 1.79 i$ & $1.05 - 1.22 i$ & $0.62 - 0.45 i$ & $-0.41 - 0.32 i$ & $0.60 - 0.03 i$ & $0.06 - 0.83 i$ & $0.21 - 0.13 i$ & $0.13 + 0.09 i$ \\
