$2.58 - 2.59 i$ & $-0.96 + 0.06 i$ & $0.30 + 0.13 i$ & $0.18 - 0.02 i$ & $0.04 - 0.05 i$ & $0.51 + 0.28 i$ & $-0.06 - 0.73 i$ & $0.08 + 0.24 i$ \\
$3.02 - 1.26 i$ & $1.77 + 1.34 i$ & $1.25 - 0.68 i$ & $-0.29 - 0.15 i$ & $0.17 - 0.05 i$ & $-4.42 - 3.70 i$ & $4.29 + 9.95 i$ & $-0.93 - 5.09 i$ \\
$5.52 - 2.53 i$ & $0.03 - 1.39 i$ & $0.37 + 0.55 i$ & $-0.02 - 0.05 i$ & $-0.18 - 0.56 i$ & $-4.54 - 0.87 i$ & $5.13 + 1.71 i$ & $-1.28 - 1.96 i$ \\
$8.15 - 1.56 i$ & $-0.17 + 1.54 i$ & $2.35 - 2.17 i$ & $-1.60 + 0.79 i$ & $0.02 + 0.05 i$ & $0.23 + 0.89 i$ & $7.13 - 1.60 i$ & $-3.42 - 0.36 i$ \\
$10.21 - 1.89 i$ & $-0.40 - 0.09 i$ & $1.30 - 0.29 i$ & $0.44 - 1.05 i$ & $0.40 - 0.11 i$ & $5.52 - 3.89 i$ & $-13.67 - 2.50 i$ & $9.28 + 1.02 i$ \\
$17.91 - 3.14 i$ & $-0.04 - 0.29 i$ & $-0.97 + 0.54 i$ & $0.40 - 0.25 i$ & $0.16 + 0.24 i$ & $3.20 + 3.54 i$ & $-9.27 - 10.23 i$ & $3.38 + 5.96 i$ \\
$19.78 - 2.34 i$ & $0.11 - 0.08 i$ & $-0.47 + 0.33 i$ & $0.48 - 0.28 i$ & $0.90 + 0.77 i$ & $5.18 - 1.77 i$ & $-8.14 - 0.91 i$ & $1.76 + 2.21 i$ \\
$21.94 - 3.11 i$ & $0.12 - 0.31 i$ & $0.87 + 1.06 i$ & $-0.65 - 0.64 i$ & $1.07 + 1.62 i$ & $-2.40 + 0.44 i$ & $-1.33 + 0.42 i$ & $1.81 - 0.29 i$ \\
$25.80 - 2.64 i$ & $-0.00 + 0.02 i$ & $0.50 + 0.27 i$ & $-0.37 - 0.36 i$ & $1.93 - 0.43 i$ & $-0.35 + 1.20 i$ & $-2.85 + 1.04 i$ & $1.75 - 0.42 i$ \\
$28.31 - 1.05 i$ & $-0.08 + 0.07 i$ & $-0.03 - 0.25 i$ & $0.06 + 0.09 i$ & $-0.10 + 0.57 i$ & $-2.68 - 4.25 i$ & $-0.13 + 7.70 i$ & $-0.75 - 5.05 i$ \\
$30.61 - 3.13 i$ & $-0.08 + 0.12 i$ & $0.28 - 0.07 i$ & $-0.18 + 0.11 i$ & $2.08 + 1.77 i$ & $-3.23 + 0.01 i$ & $1.40 - 0.21 i$ & $-0.10 + 0.16 i$ \\
$33.66 - 3.92 i$ & $-0.09 + 0.02 i$ & $0.22 + 0.05 i$ & $0.01 - 0.10 i$ & $2.59 - 0.85 i$ & $-0.60 + 0.11 i$ & $-2.99 + 3.14 i$ & $1.38 - 2.42 i$ \\
$39.06 - 6.01 i$ & $-0.01 - 0.08 i$ & $0.11 + 0.22 i$ & $0.13 - 0.29 i$ & $4.52 - 1.97 i$ & $-0.90 + 1.44 i$ & $-1.73 + 3.81 i$ & $-0.45 - 2.89 i$ \\
$42.73 - 5.29 i$ & $0.13 - 0.28 i$ & $0.18 + 0.21 i$ & $-0.14 - 0.39 i$ & $-1.89 - 3.02 i$ & $1.42 + 1.66 i$ & $0.37 + 7.13 i$ & $-1.39 - 1.77 i$ \\
