$0.85 - 0.85 i$ & $0.24 - 0.00 i$ & $0.05 + 0.00 i$ & $0.01 - 0.00 i$ & $-0.01 - 0.02 i$ & $1.95 + 1.33 i$ & $-0.71 - 1.03 i$ & $-0.12 + 0.26 i$ \\
$2.93 - 0.33 i$ & $-0.08 - 0.14 i$ & $0.45 + 0.11 i$ & $-0.09 - 0.49 i$ & $0.00 - 0.00 i$ & $0.39 - 7.48 i$ & $3.45 + 5.56 i$ & $1.48 - 1.16 i$ \\
$5.81 - 1.34 i$ & $0.27 - 0.64 i$ & $0.43 + 0.58 i$ & $-0.34 - 0.20 i$ & $0.22 - 0.08 i$ & $-5.85 - 6.09 i$ & $7.26 + 8.90 i$ & $-1.87 - 3.33 i$ \\
$8.58 - 0.50 i$ & $-0.22 - 0.74 i$ & $-0.11 + 1.01 i$ & $0.37 - 0.59 i$ & $0.16 - 0.14 i$ & $-2.71 + 5.78 i$ & $5.41 - 6.22 i$ & $-2.81 + 0.92 i$ \\
$12.06 - 0.86 i$ & $-0.44 - 0.39 i$ & $1.08 + 0.45 i$ & $-0.27 - 0.29 i$ & $0.12 + 0.04 i$ & $-1.00 + 6.14 i$ & $3.18 - 7.89 i$ & $-2.01 + 2.60 i$ \\
$13.53 - 2.44 i$ & $0.11 - 0.51 i$ & $-0.18 - 0.12 i$ & $-0.09 + 0.21 i$ & $0.32 - 0.26 i$ & $2.28 + 0.20 i$ & $-7.72 + 1.58 i$ & $4.44 - 2.40 i$ \\
$18.03 - 2.35 i$ & $-0.12 - 0.02 i$ & $0.29 + 0.20 i$ & $-0.33 - 0.15 i$ & $0.83 + 0.60 i$ & $3.05 + 0.99 i$ & $-9.43 - 1.79 i$ & $4.48 + 0.42 i$ \\
$20.85 - 2.24 i$ & $-0.24 + 0.03 i$ & $-0.34 + 0.01 i$ & $0.42 - 0.10 i$ & $0.39 - 0.01 i$ & $1.06 - 3.48 i$ & $-1.49 + 0.24 i$ & $-1.50 + 1.91 i$ \\
$24.35 - 1.83 i$ & $0.20 + 0.05 i$ & $-0.31 - 0.11 i$ & $0.14 + 0.08 i$ & $0.78 + 0.98 i$ & $4.53 + 0.20 i$ & $-6.33 + 2.26 i$ & $0.63 - 2.08 i$ \\
$25.81 - 2.77 i$ & $0.39 + 0.31 i$ & $-0.75 - 0.33 i$ & $0.40 + 0.10 i$ & $2.11 - 0.77 i$ & $-0.92 + 3.67 i$ & $-0.63 - 6.01 i$ & $-0.21 + 2.69 i$ \\
$28.51 - 3.77 i$ & $0.46 + 0.35 i$ & $-0.94 + 0.01 i$ & $0.54 - 0.41 i$ & $2.12 + 1.50 i$ & $-1.16 - 0.11 i$ & $-2.30 - 1.22 i$ & $2.86 + 1.22 i$ \\
$31.45 - 3.66 i$ & $0.36 + 0.20 i$ & $-0.71 - 0.04 i$ & $0.40 - 0.19 i$ & $1.90 + 0.01 i$ & $2.35 - 0.12 i$ & $-5.48 + 1.44 i$ & $2.07 - 1.21 i$ \\
$33.67 - 3.88 i$ & $0.40 + 0.28 i$ & $-0.45 - 0.29 i$ & $0.16 - 0.01 i$ & $0.86 - 0.56 i$ & $4.13 + 1.19 i$ & $-9.22 + 3.82 i$ & $3.57 - 2.35 i$ \\
$37.40 - 4.16 i$ & $0.17 - 0.06 i$ & $0.16 + 0.19 i$ & $-0.09 - 0.02 i$ & $2.45 - 0.65 i$ & $1.50 - 2.32 i$ & $-4.41 + 9.42 i$ & $0.80 - 6.06 i$ \\
$41.19 - 3.80 i$ & $0.05 - 0.43 i$ & $0.38 + 0.39 i$ & $-0.09 - 0.22 i$ & $-0.22 - 2.61 i$ & $3.75 - 4.21 i$ & $-0.06 + 12.63 i$ & $-1.96 - 3.34 i$ \\
