$1.02 - 1.02 i$ & $0.78 - 0.01 i$ & $0.14 + 0.01 i$ & $0.03 - 0.00 i$ & $-0.00 - 0.02 i$ & $0.07 + 1.80 i$ & $-0.03 + 0.64 i$ & $0.34 - 0.06 i$ \\
$3.20 - 1.25 i$ & $-0.24 - 0.17 i$ & $-0.32 - 0.08 i$ & $-0.11 - 0.03 i$ & $0.02 - 0.01 i$ & $-0.13 - 2.86 i$ & $1.07 - 0.52 i$ & $-0.52 + 0.52 i$ \\
$5.70 - 1.71 i$ & $-0.10 + 0.09 i$ & $0.02 + 0.16 i$ & $0.00 + 0.09 i$ & $0.00 + 0.02 i$ & $2.57 - 3.11 i$ & $-0.07 - 0.86 i$ & $-0.80 + 2.12 i$ \\
$6.41 - 1.05 i$ & $-0.61 - 1.65 i$ & $-0.07 + 0.53 i$ & $0.16 + 0.30 i$ & $0.01 - 0.03 i$ & $2.16 - 10.71 i$ & $0.97 + 2.44 i$ & $-1.55 + 2.06 i$ \\
$10.59 - 0.27 i$ & $-0.03 - 0.30 i$ & $0.76 - 0.17 i$ & $-0.63 + 0.11 i$ & $0.29 + 0.07 i$ & $8.46 - 7.34 i$ & $-8.49 + 8.81 i$ & $4.14 - 1.80 i$ \\
$11.17 - 2.46 i$ & $0.41 + 1.85 i$ & $0.02 - 2.09 i$ & $-0.29 + 0.23 i$ & $-0.10 - 0.38 i$ & $-7.82 - 1.88 i$ & $7.41 + 6.49 i$ & $-0.21 - 6.19 i$ \\
$16.30 - 3.07 i$ & $0.17 + 0.38 i$ & $-0.31 - 0.12 i$ & $0.34 - 0.12 i$ & $1.15 + 2.29 i$ & $-6.09 - 1.33 i$ & $5.34 + 1.87 i$ & $-0.59 - 0.08 i$ \\
$18.36 - 2.06 i$ & $0.04 + 0.21 i$ & $0.43 - 0.24 i$ & $-0.36 + 0.04 i$ & $2.39 + 0.92 i$ & $-11.54 - 1.14 i$ & $21.64 + 2.58 i$ & $-11.32 - 2.40 i$ \\
$19.64 - 2.13 i$ & $0.06 + 0.44 i$ & $0.50 - 0.76 i$ & $-0.31 + 0.23 i$ & $-0.23 - 4.00 i$ & $-10.23 + 3.34 i$ & $15.41 - 8.57 i$ & $-5.87 + 5.09 i$ \\
$23.42 - 0.59 i$ & $0.35 + 0.30 i$ & $0.20 - 1.34 i$ & $0.03 + 0.97 i$ & $-0.15 - 0.24 i$ & $12.43 - 6.17 i$ & $-19.67 + 22.03 i$ & $7.59 - 6.43 i$ \\
$24.17 - 1.35 i$ & $-0.27 - 0.04 i$ & $0.47 + 0.05 i$ & $-0.30 - 0.17 i$ & $3.05 - 1.22 i$ & $2.77 - 1.11 i$ & $-8.85 + 0.81 i$ & $4.18 + 1.51 i$ \\
$29.03 - 2.96 i$ & $-0.34 + 0.34 i$ & $0.56 - 0.77 i$ & $-0.16 + 0.52 i$ & $-3.03 + 3.48 i$ & $-5.49 - 2.92 i$ & $7.18 + 4.53 i$ & $-2.93 - 1.94 i$ \\
$31.16 - 3.29 i$ & $-0.00 - 0.15 i$ & $0.18 + 0.35 i$ & $0.04 - 0.12 i$ & $4.65 + 1.06 i$ & $-3.83 + 2.10 i$ & $5.83 - 1.13 i$ & $-3.64 + 0.10 i$ \\
$36.26 - 1.74 i$ & $0.10 - 0.12 i$ & $-0.36 + 0.15 i$ & $0.23 - 0.02 i$ & $0.87 - 0.14 i$ & $0.16 + 0.12 i$ & $0.45 - 0.54 i$ & $-0.58 - 0.97 i$ \\
$42.04 - 2.72 i$ & $0.17 - 0.09 i$ & $0.08 - 0.13 i$ & $-0.14 + 0.01 i$ & $4.43 - 3.21 i$ & $0.35 + 0.48 i$ & $1.97 + 0.48 i$ & $-1.16 - 0.34 i$ \\
