$1.25 - 1.25 i$ & $0.17 + 0.03 i$ & $0.21 - 0.02 i$ & $0.09 - 0.01 i$ & $0.00 - 0.02 i$ & $1.39 + 1.40 i$ & $0.50 - 0.25 i$ & $-0.07 - 0.54 i$ \\
$4.55 - 2.09 i$ & $0.39 + 2.04 i$ & $1.21 - 3.38 i$ & $-1.09 + 0.81 i$ & $0.03 - 0.16 i$ & $18.07 + 14.32 i$ & $-27.23 - 29.25 i$ & $11.13 + 14.58 i$ \\
$4.90 - 0.62 i$ & $-0.63 - 0.55 i$ & $1.12 - 0.39 i$ & $0.31 + 0.14 i$ & $0.03 + 0.10 i$ & $-0.21 - 0.77 i$ & $1.00 + 1.50 i$ & $0.65 - 1.61 i$ \\
$6.66 - 2.47 i$ & $1.73 + 1.36 i$ & $-1.54 - 0.52 i$ & $0.28 - 0.48 i$ & $0.28 - 0.42 i$ & $-1.71 - 6.13 i$ & $-4.76 + 13.35 i$ & $4.63 - 6.51 i$ \\
$10.85 - 2.35 i$ & $-0.51 + 1.33 i$ & $1.25 - 1.49 i$ & $-0.69 + 0.22 i$ & $0.20 - 0.50 i$ & $-10.73 - 4.15 i$ & $13.80 + 11.53 i$ & $-4.22 - 6.32 i$ \\
$11.35 - 4.07 i$ & $0.66 + 1.06 i$ & $0.30 - 0.81 i$ & $-0.56 + 0.08 i$ & $0.56 + 0.48 i$ & $-0.11 + 0.45 i$ & $-3.47 - 5.61 i$ & $0.62 + 3.78 i$ \\
$17.17 - 2.08 i$ & $-0.16 + 0.10 i$ & $0.30 - 0.07 i$ & $-0.18 - 0.08 i$ & $0.27 - 0.13 i$ & $-2.46 + 1.61 i$ & $0.48 - 5.19 i$ & $-0.43 + 2.42 i$ \\
$21.32 - 2.64 i$ & $0.07 - 0.04 i$ & $-0.51 + 0.43 i$ & $0.53 - 0.40 i$ & $1.00 + 0.80 i$ & $1.80 + 0.33 i$ & $-4.36 - 3.54 i$ & $0.62 + 2.95 i$ \\
$23.06 - 3.11 i$ & $0.40 - 0.05 i$ & $-0.74 + 0.24 i$ & $0.30 - 0.23 i$ & $0.56 + 0.26 i$ & $-2.15 + 1.85 i$ & $6.04 - 4.15 i$ & $-2.55 + 1.78 i$ \\
$27.94 - 0.83 i$ & $-0.26 - 0.46 i$ & $0.29 + 0.92 i$ & $-0.09 - 0.47 i$ & $0.11 + 0.13 i$ & $0.85 + 0.94 i$ & $-0.50 + 0.95 i$ & $-1.52 - 1.69 i$ \\
$29.70 - 1.87 i$ & $-0.08 + 0.05 i$ & $-0.05 - 0.21 i$ & $0.21 + 0.10 i$ & $0.52 + 2.27 i$ & $-2.34 - 0.51 i$ & $2.58 - 2.94 i$ & $-1.21 + 3.27 i$ \\
$31.72 - 3.09 i$ & $-0.04 - 0.08 i$ & $0.16 + 0.15 i$ & $-0.04 + 0.05 i$ & $3.93 + 0.02 i$ & $0.33 + 2.39 i$ & $-5.19 - 5.05 i$ & $3.06 + 2.67 i$ \\
$35.70 - 3.95 i$ & $0.11 + 0.06 i$ & $-0.16 - 0.22 i$ & $0.14 + 0.20 i$ & $2.54 - 0.62 i$ & $1.45 + 0.91 i$ & $-5.54 - 0.51 i$ & $2.42 + 0.27 i$ \\
$39.40 - 4.42 i$ & $0.38 - 0.13 i$ & $-0.45 + 0.35 i$ & $0.22 - 0.16 i$ & $2.75 - 1.64 i$ & $1.33 + 2.75 i$ & $-8.25 - 0.42 i$ & $4.02 - 1.56 i$ \\
$43.45 - 3.23 i$ & $0.61 - 0.29 i$ & $-0.53 - 0.09 i$ & $0.14 + 0.09 i$ & $-0.59 - 2.54 i$ & $6.23 + 0.96 i$ & $-5.31 + 7.20 i$ & $-0.98 - 1.32 i$ \\
