$6.10 - 4.66 i$ & $0.50 - 0.55 i$ & $-0.05 + 0.12 i$ & $-0.06 + 0.11 i$ & $-0.11 - 0.28 i$ & $2.68 + 4.13 i$ & $2.11 + 1.19 i$ & $-0.73 - 1.60 i$ \\
$8.45 - 0.68 i$ & $0.39 - 0.17 i$ & $0.21 + 0.22 i$ & $-0.22 - 0.12 i$ & $0.07 - 0.02 i$ & $7.67 - 5.48 i$ & $-10.71 + 1.59 i$ & $3.39 + 1.81 i$ \\
$15.00 - 1.99 i$ & $0.21 + 0.21 i$ & $0.05 - 0.75 i$ & $0.10 - 0.29 i$ & $0.66 + 0.38 i$ & $-0.93 - 1.09 i$ & $-4.13 + 4.30 i$ & $3.91 - 2.78 i$ \\
$17.77 - 5.29 i$ & $1.50 - 1.06 i$ & $-0.98 + 0.83 i$ & $-0.21 + 0.02 i$ & $-0.21 - 0.72 i$ & $-0.78 - 15.74 i$ & $25.88 + 17.15 i$ & $-19.81 - 5.10 i$ \\
$22.74 + 0.06 i$ & $-0.03 - 0.90 i$ & $0.29 + 1.68 i$ & $-0.15 - 0.87 i$ & $0.03 + 0.05 i$ & $-5.42 - 9.26 i$ & $16.54 + 2.31 i$ & $-9.22 + 1.23 i$ \\
$27.16 - 0.77 i$ & $-0.01 + 0.09 i$ & $0.37 - 0.49 i$ & $-0.19 + 0.34 i$ & $0.37 - 0.21 i$ & $-2.32 + 2.64 i$ & $-0.66 - 4.48 i$ & $0.13 + 0.51 i$ \\
$32.52 - 3.36 i$ & $-0.02 - 0.06 i$ & $0.72 + 0.00 i$ & $-0.35 - 0.29 i$ & $7.44 + 4.32 i$ & $1.94 - 1.15 i$ & $-3.12 + 6.07 i$ & $1.06 - 2.63 i$ \\
$36.10 - 5.71 i$ & $0.47 + 0.71 i$ & $-0.65 - 1.00 i$ & $0.42 + 0.48 i$ & $3.64 - 0.76 i$ & $-7.18 - 0.18 i$ & $14.13 + 0.25 i$ & $-8.14 + 0.25 i$ \\
$42.71 - 2.88 i$ & $0.13 + 0.24 i$ & $-0.18 - 0.38 i$ & $0.15 + 0.18 i$ & $0.61 + 0.30 i$ & $-4.40 + 4.79 i$ & $5.14 - 9.72 i$ & $-2.52 + 6.12 i$ \\
$50.22 - 6.73 i$ & $0.38 - 0.30 i$ & $-0.41 - 0.11 i$ & $0.08 + 0.08 i$ & $3.70 - 5.76 i$ & $2.33 + 3.83 i$ & $-0.85 - 4.10 i$ & $1.83 + 1.97 i$ \\
