$1.72 - 1.64 i$ & $-0.95 - 0.10 i$ & $-0.02 + 0.02 i$ & $0.04 - 0.00 i$ & $0.11 - 0.06 i$ & $-5.48 - 2.53 i$ & $2.57 + 0.53 i$ & $1.33 + 0.73 i$ \\
$3.18 - 3.05 i$ & $-0.69 + 3.26 i$ & $1.01 - 0.75 i$ & $-0.13 - 0.67 i$ & $0.01 - 0.07 i$ & $1.03 + 0.31 i$ & $-2.24 + 1.58 i$ & $-0.86 + 0.57 i$ \\
$7.71 - 1.89 i$ & $-1.37 + 0.46 i$ & $1.99 + 0.31 i$ & $0.33 - 1.19 i$ & $0.01 - 0.65 i$ & $-2.52 + 0.42 i$ & $-3.21 - 0.51 i$ & $1.43 - 1.49 i$ \\
$11.53 - 0.88 i$ & $0.41 + 0.03 i$ & $0.39 + 0.23 i$ & $-0.11 - 0.92 i$ & $0.66 + 0.65 i$ & $7.76 - 11.98 i$ & $-11.28 + 11.03 i$ & $9.96 - 4.13 i$ \\
$12.02 - 0.54 i$ & $0.48 - 0.36 i$ & $-1.67 + 1.11 i$ & $2.08 - 0.78 i$ & $1.88 + 0.26 i$ & $-2.77 - 1.17 i$ & $-4.89 + 5.57 i$ & $6.13 - 4.91 i$ \\
$12.73 - 7.96 i$ & $-2.20 + 1.44 i$ & $1.79 - 0.14 i$ & $-0.32 - 0.90 i$ & $-1.43 + 0.77 i$ & $-3.60 - 0.14 i$ & $-0.45 - 1.77 i$ & $2.06 + 2.41 i$ \\
$12.97 - 0.90 i$ & $0.32 - 1.20 i$ & $-0.77 + 3.14 i$ & $1.26 - 1.90 i$ & $1.21 + 0.02 i$ & $-2.08 + 2.88 i$ & $3.38 - 9.94 i$ & $-2.97 + 6.05 i$ \\
$15.68 - 3.04 i$ & $0.31 + 0.14 i$ & $-0.71 + 1.05 i$ & $0.53 - 0.87 i$ & $-0.31 - 0.40 i$ & $-0.69 - 3.07 i$ & $0.16 + 1.92 i$ & $-2.44 + 0.17 i$ \\
$20.91 - 1.58 i$ & $0.25 - 0.04 i$ & $-0.71 + 0.45 i$ & $0.41 - 0.33 i$ & $-0.31 + 0.10 i$ & $-1.62 - 0.40 i$ & $-1.98 + 0.30 i$ & $0.47 + 0.55 i$ \\
$23.49 - 4.13 i$ & $0.29 + 0.21 i$ & $-0.37 - 0.38 i$ & $0.21 + 0.31 i$ & $3.88 + 4.57 i$ & $0.06 + 2.54 i$ & $-0.11 - 0.39 i$ & $-0.97 - 0.00 i$ \\
$25.94 - 1.83 i$ & $-0.01 + 0.13 i$ & $0.06 - 0.24 i$ & $-0.02 + 0.14 i$ & $1.22 - 0.86 i$ & $-0.95 + 0.80 i$ & $0.25 + 0.55 i$ & $-0.10 + 0.58 i$ \\
$31.24 - 4.37 i$ & $-0.30 - 0.39 i$ & $-0.12 + 0.31 i$ & $0.10 + 0.07 i$ & $2.20 - 5.77 i$ & $2.29 - 0.50 i$ & $-0.53 + 1.16 i$ & $-0.42 - 0.73 i$ \\
