$3.34 - 3.35 i$ & $-0.24 + 0.04 i$ & $0.87 - 0.13 i$ & $-0.39 + 0.11 i$ & $-0.48 - 0.16 i$ & $-3.89 - 0.11 i$ & $5.32 + 4.51 i$ & $-1.29 - 3.64 i$ \\
$7.04 - 3.33 i$ & $0.55 + 1.45 i$ & $-0.45 + 0.06 i$ & $0.53 - 1.16 i$ & $0.26 + 0.24 i$ & $2.34 - 10.01 i$ & $-9.14 + 14.80 i$ & $5.48 - 4.72 i$ \\
$7.31 - 0.64 i$ & $0.15 - 0.33 i$ & $0.46 + 0.94 i$ & $-1.08 - 0.71 i$ & $0.26 - 0.12 i$ & $-4.61 + 0.96 i$ & $1.25 - 2.43 i$ & $1.48 + 1.81 i$ \\
$11.13 - 3.52 i$ & $-0.32 + 1.27 i$ & $0.84 - 0.23 i$ & $-0.54 - 0.78 i$ & $0.47 + 0.23 i$ & $-7.82 - 2.17 i$ & $8.01 + 4.92 i$ & $-2.05 - 2.35 i$ \\
$17.58 - 3.15 i$ & $-0.33 + 0.37 i$ & $0.92 - 0.31 i$ & $-0.49 + 0.15 i$ & $0.76 + 0.52 i$ & $-3.19 + 1.62 i$ & $1.54 - 2.39 i$ & $-1.37 + 0.57 i$ \\
$19.94 - 2.01 i$ & $0.19 + 0.02 i$ & $-0.05 + 0.37 i$ & $-0.23 - 0.35 i$ & $-0.52 + 0.28 i$ & $-0.61 + 2.15 i$ & $-0.40 - 13.58 i$ & $0.31 + 9.61 i$ \\
$22.47 - 2.30 i$ & $-0.50 - 0.08 i$ & $1.08 + 0.37 i$ & $-0.86 - 0.29 i$ & $0.61 + 0.45 i$ & $4.44 - 5.29 i$ & $-15.82 + 7.74 i$ & $11.41 - 4.17 i$ \\
$25.64 - 1.28 i$ & $0.06 - 0.02 i$ & $0.01 + 0.08 i$ & $-0.00 - 0.18 i$ & $0.24 + 0.64 i$ & $3.70 - 7.18 i$ & $-6.38 + 21.29 i$ & $3.00 - 12.29 i$ \\
$27.92 - 2.56 i$ & $0.00 + 0.12 i$ & $-0.11 - 0.11 i$ & $0.28 - 0.13 i$ & $2.32 + 3.85 i$ & $-6.52 - 1.19 i$ & $10.25 + 0.12 i$ & $-4.15 + 0.65 i$ \\
$30.28 - 2.52 i$ & $0.37 - 0.03 i$ & $-0.70 - 0.03 i$ & $0.48 + 0.10 i$ & $5.84 - 1.02 i$ & $-4.92 + 2.21 i$ & $6.07 - 6.16 i$ & $-2.86 + 3.98 i$ \\
$32.14 - 1.20 i$ & $0.14 - 0.13 i$ & $0.32 + 0.30 i$ & $-0.34 - 0.20 i$ & $0.58 - 2.30 i$ & $-5.87 + 4.40 i$ & $4.59 - 9.71 i$ & $-0.46 + 5.47 i$ \\
$35.87 - 0.56 i$ & $-0.17 - 0.43 i$ & $0.85 + 1.01 i$ & $-0.62 - 0.60 i$ & $0.08 - 0.19 i$ & $-1.98 + 10.22 i$ & $-8.06 - 17.34 i$ & $9.00 + 7.15 i$ \\
$39.68 - 4.03 i$ & $0.10 - 0.24 i$ & $0.00 + 0.24 i$ & $-0.06 - 0.06 i$ & $4.11 - 2.04 i$ & $0.81 + 4.31 i$ & $-8.87 - 0.38 i$ & $6.38 - 2.97 i$ \\
$43.72 - 3.21 i$ & $0.37 - 0.52 i$ & $-0.28 + 0.41 i$ & $-0.04 - 0.26 i$ & $-1.35 - 3.01 i$ & $3.50 + 4.16 i$ & $-3.66 + 11.11 i$ & $1.00 - 10.05 i$ \\
