$5.38 - 1.31 i$ & $1.40 + 0.39 i$ & $0.00 - 1.10 i$ & $-1.09 + 0.42 i$ & $0.19 + 0.00 i$ & $-0.14 - 3.07 i$ & $-1.10 + 0.41 i$ & $-0.01 + 0.15 i$ \\
$5.48 - 1.52 i$ & $-0.50 - 0.51 i$ & $0.11 + 0.60 i$ & $-0.01 - 0.01 i$ & $0.09 - 0.10 i$ & $-2.38 + 2.20 i$ & $0.40 - 0.56 i$ & $0.25 - 0.40 i$ \\
$11.23 - 2.48 i$ & $-0.05 - 0.17 i$ & $0.89 - 0.50 i$ & $-0.10 + 0.24 i$ & $0.55 - 0.10 i$ & $1.44 + 0.93 i$ & $0.61 - 1.05 i$ & $0.42 - 0.41 i$ \\
$12.76 - 4.34 i$ & $-0.34 + 1.32 i$ & $0.83 - 1.30 i$ & $-0.17 + 0.42 i$ & $-0.03 - 0.84 i$ & $-3.01 - 0.57 i$ & $0.60 + 0.16 i$ & $0.92 + 0.03 i$ \\
$17.81 - 2.31 i$ & $-0.31 + 0.05 i$ & $0.73 + 0.25 i$ & $-0.24 - 0.17 i$ & $-0.29 + 1.55 i$ & $-4.69 - 0.52 i$ & $1.76 - 0.22 i$ & $1.16 + 0.57 i$ \\
$18.93 - 3.25 i$ & $0.48 - 0.92 i$ & $0.26 + 1.38 i$ & $-0.60 - 0.32 i$ & $0.90 - 1.50 i$ & $0.59 + 0.56 i$ & $-1.30 - 0.43 i$ & $-0.37 - 0.31 i$ \\
$23.73 - 0.66 i$ & $0.10 - 0.35 i$ & $-0.05 + 0.60 i$ & $0.12 - 0.28 i$ & $0.32 - 0.17 i$ & $-0.77 - 2.04 i$ & $-0.87 + 1.98 i$ & $-0.04 + 0.43 i$ \\
$27.74 - 1.22 i$ & $-0.29 + 0.01 i$ & $0.46 + 0.28 i$ & $-0.16 - 0.46 i$ & $0.08 + 0.76 i$ & $-4.30 - 0.62 i$ & $1.35 + 0.69 i$ & $-0.15 + 0.70 i$ \\
$31.58 - 0.70 i$ & $-0.28 - 0.15 i$ & $1.41 + 0.19 i$ & $-0.93 - 0.12 i$ & $0.49 + 0.11 i$ & $-5.71 + 3.56 i$ & $-0.60 - 1.15 i$ & $0.87 - 0.66 i$ \\
$32.65 - 2.36 i$ & $0.18 + 0.07 i$ & $-0.28 - 0.07 i$ & $0.49 - 0.07 i$ & $2.39 + 0.96 i$ & $-0.25 + 1.28 i$ & $-1.37 - 0.37 i$ & $-0.18 - 0.80 i$ \\
$38.07 - 3.61 i$ & $-0.04 - 0.04 i$ & $0.37 - 0.11 i$ & $-0.47 + 0.03 i$ & $3.58 + 4.52 i$ & $-0.30 - 0.96 i$ & $-0.80 + 0.60 i$ & $0.17 - 0.67 i$ \\
$39.97 - 1.74 i$ & $0.08 + 0.04 i$ & $-0.34 - 0.39 i$ & $0.32 + 0.39 i$ & $1.33 + 0.17 i$ & $-1.80 - 1.11 i$ & $-0.43 + 0.97 i$ & $0.27 + 0.11 i$ \\
$41.96 - 3.65 i$ & $0.07 - 0.01 i$ & $-0.37 - 0.01 i$ & $0.37 + 0.10 i$ & $2.22 - 5.08 i$ & $-1.65 - 0.25 i$ & $-0.12 + 0.14 i$ & $-0.01 + 0.29 i$ \\
$50.74 - 2.17 i$ & $0.04 + 0.06 i$ & $-0.31 + 0.08 i$ & $0.21 - 0.11 i$ & $-0.02 - 0.12 i$ & $-1.73 + 1.97 i$ & $-0.49 + 1.33 i$ & $0.02 + 1.33 i$ \\
$53.03 - 0.67 i$ & $-0.03 - 0.03 i$ & $0.02 + 0.06 i$ & $-0.01 - 0.03 i$ & $-0.09 - 0.17 i$ & $2.28 - 3.65 i$ & $-2.80 + 1.75 i$ & $0.65 - 0.08 i$ \\
$62.54 - 5.92 i$ & $0.44 - 0.11 i$ & $-0.70 - 0.29 i$ & $0.40 + 0.05 i$ & $4.15 - 1.29 i$ & $1.11 + 1.69 i$ & $0.98 - 0.65 i$ & $-0.28 + 0.27 i$ \\
