$2.40 - 1.19 i$ & $-0.22 - 0.64 i$ & $-0.07 + 0.01 i$ & $0.06 + 0.03 i$ & $0.08 - 0.01 i$ & $-2.16 - 3.33 i$ & $-0.85 + 0.94 i$ & $2.76 + 0.31 i$ \\
$4.52 - 1.38 i$ & $-0.68 - 0.20 i$ & $0.48 + 0.14 i$ & $-0.10 - 0.05 i$ & $0.01 - 0.01 i$ & $-0.89 - 17.86 i$ & $10.00 + 3.95 i$ & $-1.13 + 2.53 i$ \\
$7.54 - 0.43 i$ & $-0.35 - 0.50 i$ & $0.80 + 0.12 i$ & $-0.26 + 0.07 i$ & $0.04 - 0.05 i$ & $-1.86 - 3.58 i$ & $-0.66 + 4.98 i$ & $1.53 - 2.39 i$ \\
$8.73 - 1.58 i$ & $0.38 + 0.68 i$ & $0.37 - 0.42 i$ & $-0.34 - 0.25 i$ & $-0.01 - 0.04 i$ & $-15.06 + 26.77 i$ & $19.53 - 20.28 i$ & $-6.55 - 2.41 i$ \\
$14.14 - 1.24 i$ & $-0.21 - 0.21 i$ & $0.31 - 0.42 i$ & $-0.23 + 0.56 i$ & $0.11 + 0.27 i$ & $-2.02 + 0.38 i$ & $1.67 + 11.10 i$ & $-0.88 - 9.60 i$ \\
$14.51 - 0.79 i$ & $0.89 - 1.30 i$ & $-2.10 + 1.76 i$ & $1.37 - 0.72 i$ & $0.05 + 0.10 i$ & $6.22 - 29.65 i$ & $-2.01 + 32.60 i$ & $5.94 - 6.07 i$ \\
$18.41 - 0.53 i$ & $-0.33 - 0.08 i$ & $0.74 + 0.26 i$ & $0.14 - 0.38 i$ & $-0.36 - 0.51 i$ & $-9.69 - 1.80 i$ & $17.19 + 3.32 i$ & $-8.73 - 0.29 i$ \\
$18.69 - 1.16 i$ & $0.59 + 0.01 i$ & $-0.62 - 0.03 i$ & $0.25 - 0.07 i$ & $1.14 + 0.82 i$ & $-2.88 + 1.77 i$ & $4.66 - 1.16 i$ & $-2.12 + 1.40 i$ \\
$21.02 - 1.63 i$ & $-0.06 - 0.02 i$ & $0.70 + 0.02 i$ & $-0.56 - 0.06 i$ & $4.35 + 0.48 i$ & $0.52 - 1.22 i$ & $-2.65 + 2.95 i$ & $1.30 - 2.46 i$ \\
$24.77 - 0.59 i$ & $0.00 - 0.09 i$ & $0.06 + 0.07 i$ & $-0.02 - 0.03 i$ & $0.06 - 0.29 i$ & $2.35 + 3.62 i$ & $5.85 - 1.82 i$ & $-7.40 - 1.23 i$ \\
$27.46 - 2.33 i$ & $0.24 - 0.19 i$ & $-0.22 + 0.30 i$ & $0.26 - 0.03 i$ & $0.06 + 1.63 i$ & $2.78 - 1.36 i$ & $-6.19 - 4.46 i$ & $2.30 + 6.53 i$ \\
$29.56 - 3.65 i$ & $0.27 + 0.01 i$ & $-0.02 + 0.20 i$ & $-0.09 - 0.03 i$ & $3.21 + 0.78 i$ & $-1.80 - 2.44 i$ & $-3.12 + 6.35 i$ & $3.43 - 3.83 i$ \\
$33.52 - 1.09 i$ & $0.02 + 0.17 i$ & $0.05 - 0.30 i$ & $-0.00 + 0.16 i$ & $0.11 - 0.08 i$ & $-0.06 - 6.63 i$ & $0.25 + 17.50 i$ & $-1.22 - 9.36 i$ \\
$35.04 - 4.08 i$ & $0.17 + 0.07 i$ & $0.03 + 0.09 i$ & $-0.03 - 0.09 i$ & $4.15 - 1.07 i$ & $-5.64 + 0.59 i$ & $7.04 + 0.27 i$ & $-3.52 - 0.11 i$ \\
