$1.39 - 0.86 i$ & $0.36 - 1.07 i$ & $0.18 + 0.98 i$ & $0.02 - 0.50 i$ & $0.02 + 0.01 i$ & $1.00 - 4.66 i$ & $-2.77 - 2.29 i$ & $-1.22 - 0.17 i$ \\
$2.62 - 1.76 i$ & $-0.03 + 0.70 i$ & $0.38 - 0.74 i$ & $0.24 - 0.26 i$ & $0.16 - 0.22 i$ & $0.81 - 2.70 i$ & $-0.46 + 0.53 i$ & $-0.11 + 0.08 i$ \\
$3.85 - 1.24 i$ & $-0.26 + 0.59 i$ & $0.77 - 0.84 i$ & $-0.08 - 0.42 i$ & $-0.11 - 0.29 i$ & $-2.72 - 2.99 i$ & $-1.52 + 0.44 i$ & $0.08 + 0.09 i$ \\
$5.64 - 2.42 i$ & $-0.16 + 0.38 i$ & $0.92 + 0.04 i$ & $0.72 - 0.16 i$ & $-0.69 - 0.09 i$ & $-0.79 - 2.65 i$ & $-2.37 + 2.28 i$ & $-0.08 + 0.23 i$ \\
$9.74 - 0.53 i$ & $-0.16 - 0.17 i$ & $1.36 + 0.27 i$ & $-0.60 - 0.10 i$ & $2.10 - 0.16 i$ & $0.02 - 1.68 i$ & $-3.96 + 3.55 i$ & $1.99 - 1.99 i$ \\
$10.73 - 1.16 i$ & $0.08 + 0.43 i$ & $-0.29 - 0.08 i$ & $0.49 - 0.30 i$ & $-1.28 - 0.27 i$ & $-5.44 - 1.86 i$ & $4.12 + 1.23 i$ & $-1.20 + 0.49 i$ \\
$11.79 - 7.16 i$ & $-0.53 + 0.45 i$ & $0.16 + 1.27 i$ & $0.39 - 0.77 i$ & $5.62 - 0.26 i$ & $-1.71 + 0.04 i$ & $0.45 - 1.08 i$ & $-0.46 + 0.83 i$ \\
$12.82 - 3.93 i$ & $-2.12 - 0.04 i$ & $2.07 + 1.25 i$ & $-0.03 - 1.09 i$ & $-0.37 + 0.74 i$ & $-0.38 + 1.09 i$ & $0.89 - 2.29 i$ & $-1.98 + 0.24 i$ \\
$19.06 - 0.54 i$ & $0.07 - 0.02 i$ & $-0.05 + 0.01 i$ & $0.03 + 0.00 i$ & $0.10 - 0.01 i$ & $0.74 + 2.91 i$ & $-0.52 - 2.33 i$ & $0.08 + 0.98 i$ \\
$21.83 - 0.73 i$ & $0.03 - 0.01 i$ & $-0.05 + 0.02 i$ & $0.06 - 0.02 i$ & $0.17 + 0.22 i$ & $0.42 + 0.77 i$ & $-1.74 + 0.02 i$ & $0.34 + 0.68 i$ \\
$26.30 - 4.19 i$ & $0.48 - 0.45 i$ & $-0.32 - 0.31 i$ & $-0.23 - 0.05 i$ & $1.80 - 1.87 i$ & $3.11 + 1.16 i$ & $-1.05 + 1.24 i$ & $0.56 - 0.77 i$ \\
