$1.90 - 1.90 i$ & $1.08 + 0.00 i$ & $0.15 + 0.00 i$ & $0.00 + 0.00 i$ & $0.19 - 0.11 i$ & $0.15 + 1.32 i$ & $0.19 + 0.20 i$ & $0.05 - 0.04 i$ \\
$3.00 - 1.95 i$ & $0.77 - 0.38 i$ & $-0.05 - 0.13 i$ & $-0.03 - 0.05 i$ & $-0.15 - 0.24 i$ & $1.06 - 0.69 i$ & $0.41 + 0.09 i$ & $0.12 - 0.02 i$ \\
$5.07 - 3.12 i$ & $0.22 - 0.72 i$ & $0.44 - 0.02 i$ & $0.17 + 0.07 i$ & $-0.45 + 0.37 i$ & $-0.28 - 0.12 i$ & $-0.57 + 0.14 i$ & $-0.07 + 0.08 i$ \\
$8.90 - 1.48 i$ & $1.41 + 0.68 i$ & $-1.35 - 0.60 i$ & $0.11 + 0.02 i$ & $0.20 + 0.04 i$ & $-0.58 - 1.01 i$ & $-0.72 + 0.55 i$ & $-0.37 - 0.20 i$ \\
$9.36 - 4.07 i$ & $1.19 + 1.78 i$ & $-0.06 - 0.68 i$ & $-0.47 - 0.53 i$ & $-0.04 + 0.21 i$ & $1.06 + 0.68 i$ & $0.01 + 0.26 i$ & $-0.27 - 0.01 i$ \\
$15.61 - 1.72 i$ & $0.33 - 0.14 i$ & $-0.44 - 0.24 i$ & $0.36 + 0.39 i$ & $0.41 + 0.53 i$ & $-0.39 + 1.01 i$ & $-0.70 + 0.07 i$ & $-0.70 - 0.51 i$ \\
$19.08 - 1.30 i$ & $-0.10 - 0.42 i$ & $1.16 + 0.69 i$ & $-0.72 - 0.14 i$ & $-0.05 + 0.72 i$ & $-2.15 + 1.10 i$ & $0.36 - 0.25 i$ & $-0.15 - 0.74 i$ \\
$20.96 - 1.00 i$ & $0.06 - 0.03 i$ & $-0.03 + 0.37 i$ & $0.83 - 0.94 i$ & $0.84 - 0.10 i$ & $-1.48 + 2.63 i$ & $-1.27 + 0.65 i$ & $-0.88 - 0.69 i$ \\
$24.22 - 0.63 i$ & $-0.27 - 0.17 i$ & $0.89 + 0.31 i$ & $-0.49 - 0.56 i$ & $1.25 + 1.29 i$ & $5.97 - 3.01 i$ & $-3.18 + 1.04 i$ & $0.29 + 0.89 i$ \\
$24.22 - 2.10 i$ & $0.20 + 0.22 i$ & $0.57 - 0.19 i$ & $-0.53 + 0.09 i$ & $5.08 - 0.47 i$ & $-2.94 + 0.22 i$ & $0.37 - 0.96 i$ & $0.54 + 0.66 i$ \\
$31.82 - 1.24 i$ & $-0.15 + 0.14 i$ & $0.35 - 0.25 i$ & $-0.29 + 0.06 i$ & $-0.27 - 0.12 i$ & $-0.58 - 2.63 i$ & $-1.42 - 1.18 i$ & $-0.15 - 0.07 i$ \\
$33.48 - 4.75 i$ & $-0.08 - 0.22 i$ & $-0.03 + 0.51 i$ & $0.18 - 0.37 i$ & $5.34 + 0.19 i$ & $2.19 - 0.74 i$ & $-1.25 + 0.74 i$ & $0.81 - 0.17 i$ \\
$39.83 - 2.71 i$ & $-0.03 - 0.11 i$ & $-0.14 + 0.25 i$ & $0.13 - 0.12 i$ & $2.04 - 1.84 i$ & $-0.71 - 1.11 i$ & $-1.11 + 1.49 i$ & $0.45 - 0.74 i$ \\
$43.91 - 1.91 i$ & $0.14 - 0.23 i$ & $-0.38 + 0.12 i$ & $0.26 - 0.06 i$ & $-0.49 - 3.88 i$ & $1.02 + 0.58 i$ & $0.73 - 0.32 i$ & $-0.23 - 0.03 i$ \\
