$2.31 - 2.12 i$ & $0.82 - 0.00 i$ & $0.26 + 0.04 i$ & $0.12 - 0.04 i$ & $-0.16 + 0.08 i$ & $-6.82 + 4.87 i$ & $4.72 - 0.41 i$ & $1.36 - 2.02 i$ \\
$5.67 - 2.68 i$ & $1.92 + 1.74 i$ & $0.80 - 0.76 i$ & $-0.28 - 0.21 i$ & $1.41 + 1.72 i$ & $-4.58 + 0.40 i$ & $2.03 + 0.28 i$ & $1.13 - 0.89 i$ \\
$6.74 - 2.78 i$ & $-0.10 + 1.54 i$ & $2.40 - 1.01 i$ & $0.14 - 0.53 i$ & $-1.30 - 3.22 i$ & $-6.94 - 1.33 i$ & $7.41 + 4.16 i$ & $-1.78 - 3.11 i$ \\
$9.93 - 4.64 i$ & $-1.72 + 0.90 i$ & $5.11 + 0.25 i$ & $-1.73 + 0.45 i$ & $1.24 + 0.28 i$ & $-3.39 - 7.05 i$ & $-2.35 + 12.34 i$ & $3.21 - 5.76 i$ \\
$12.54 - 1.26 i$ & $-0.47 - 0.14 i$ & $1.27 + 0.54 i$ & $0.13 - 0.48 i$ & $0.81 - 0.17 i$ & $3.38 - 6.63 i$ & $-14.46 + 11.40 i$ & $8.28 - 3.50 i$ \\
$14.92 - 1.78 i$ & $0.67 - 0.72 i$ & $-2.09 + 2.02 i$ & $2.26 - 1.49 i$ & $0.83 + 0.48 i$ & $6.88 + 5.18 i$ & $-6.24 - 12.29 i$ & $1.22 + 6.35 i$ \\
$19.06 - 1.61 i$ & $0.27 + 0.09 i$ & $-0.70 - 0.41 i$ & $0.60 + 0.48 i$ & $1.22 + 0.49 i$ & $0.07 + 2.74 i$ & $8.42 - 6.04 i$ & $-10.55 + 3.23 i$ \\
$22.76 - 3.56 i$ & $-0.40 + 0.33 i$ & $0.37 - 0.37 i$ & $-0.05 + 0.22 i$ & $2.52 + 0.47 i$ & $-1.97 - 4.29 i$ & $0.65 + 4.22 i$ & $3.47 - 1.57 i$ \\
$23.55 - 2.13 i$ & $-0.13 - 0.25 i$ & $-0.38 + 0.43 i$ & $0.40 - 0.10 i$ & $-1.12 - 0.60 i$ & $1.36 - 2.77 i$ & $0.41 - 2.79 i$ & $0.95 + 0.71 i$ \\
$29.08 - 2.27 i$ & $-0.02 + 0.08 i$ & $-0.02 - 0.15 i$ & $0.07 + 0.07 i$ & $-1.55 - 0.50 i$ & $-1.42 + 1.71 i$ & $1.39 - 0.57 i$ & $-0.14 + 0.23 i$ \\
$29.61 - 3.24 i$ & $-0.17 + 0.01 i$ & $0.17 - 0.01 i$ & $0.01 + 0.02 i$ & $2.18 + 1.89 i$ & $0.47 + 0.89 i$ & $-1.33 + 0.67 i$ & $0.43 - 0.33 i$ \\
$37.46 - 9.32 i$ & $-0.07 - 0.63 i$ & $-0.50 + 0.10 i$ & $0.20 + 0.20 i$ & $3.77 - 2.44 i$ & $1.57 - 0.12 i$ & $-0.66 + 0.13 i$ & $0.27 + 0.08 i$ \\
